"lon","lat","layer","bioregion"
1.9,38.6,"bathypelagic",9
1.9,38.8,"bathypelagic",NA
1.9,39,"bathypelagic",9
1.9,39.2,"bathypelagic",9
1.9,39.4,"bathypelagic",9
1.9,39.6,"bathypelagic",9
1.9,39.8,"bathypelagic",9
1.9,40,"bathypelagic",5
1.9,40.2,"bathypelagic",5
1.9,40.4,"bathypelagic",5
1.9,40.6,"bathypelagic",5
1.9,40.8,"bathypelagic",9
1.9,41,"bathypelagic",9
2.1,36.8,"bathypelagic",9
2.1,37,"bathypelagic",9
2.1,37.2,"bathypelagic",9
2.1,37.4,"bathypelagic",9
2.1,37.6,"bathypelagic",9
2.1,37.8,"bathypelagic",9
2.1,38,"bathypelagic",9
2.1,38.2,"bathypelagic",9
2.1,38.4,"bathypelagic",9
2.1,38.6,"bathypelagic",9
2.1,38.8,"bathypelagic",9
2.1,39,"bathypelagic",9
2.1,39.2,"bathypelagic",9
2.1,39.4,"bathypelagic",NA
2.1,39.6,"bathypelagic",NA
2.1,39.8,"bathypelagic",5
2.1,40,"bathypelagic",5
2.1,40.2,"bathypelagic",5
2.1,40.4,"bathypelagic",5
2.1,40.6,"bathypelagic",5
2.1,40.8,"bathypelagic",5
2.1,41,"bathypelagic",9
2.3,36.8,"bathypelagic",9
2.3,37,"bathypelagic",9
2.3,37.2,"bathypelagic",9
2.3,37.4,"bathypelagic",9
2.3,37.6,"bathypelagic",9
2.3,37.8,"bathypelagic",9
2.3,38,"bathypelagic",9
2.3,38.2,"bathypelagic",9
2.3,38.4,"bathypelagic",9
2.3,38.6,"bathypelagic",9
2.3,38.8,"bathypelagic",9
2.3,39,"bathypelagic",9
2.3,39.2,"bathypelagic",9
2.3,39.4,"bathypelagic",NA
2.3,39.8,"bathypelagic",NA
2.3,40,"bathypelagic",5
2.3,40.2,"bathypelagic",5
2.3,40.4,"bathypelagic",9
2.3,40.6,"bathypelagic",5
2.3,40.8,"bathypelagic",5
2.3,41,"bathypelagic",5
2.3,41.2,"bathypelagic",9
2.5,36.8,"bathypelagic",NA
2.5,37,"bathypelagic",9
2.5,37.2,"bathypelagic",9
2.5,37.4,"bathypelagic",9
2.5,37.6,"bathypelagic",9
2.5,37.8,"bathypelagic",9
2.5,38,"bathypelagic",9
2.5,38.2,"bathypelagic",9
2.5,38.4,"bathypelagic",9
2.5,38.6,"bathypelagic",9
2.5,38.8,"bathypelagic",NA
2.5,39,"bathypelagic",9
2.5,39.2,"bathypelagic",NA
2.5,39.8,"bathypelagic",NA
2.5,40,"bathypelagic",9
2.5,40.2,"bathypelagic",9
2.5,40.4,"bathypelagic",9
2.5,40.6,"bathypelagic",9
2.5,40.8,"bathypelagic",5
2.5,41,"bathypelagic",5
2.5,41.2,"bathypelagic",5
2.5,41.4,"bathypelagic",NA
2.7,36.8,"bathypelagic",NA
2.7,37,"bathypelagic",9
2.7,37.2,"bathypelagic",9
2.7,37.4,"bathypelagic",9
2.7,37.6,"bathypelagic",9
2.7,37.8,"bathypelagic",9
2.7,38,"bathypelagic",9
2.7,38.2,"bathypelagic",9
2.7,38.4,"bathypelagic",9
2.7,38.6,"bathypelagic",9
2.7,38.8,"bathypelagic",9
2.7,39,"bathypelagic",NA
2.7,39.2,"bathypelagic",NA
2.7,40,"bathypelagic",9
2.7,40.2,"bathypelagic",5
2.7,40.4,"bathypelagic",9
2.7,40.6,"bathypelagic",9
2.7,40.8,"bathypelagic",9
2.7,41,"bathypelagic",5
2.7,41.2,"bathypelagic",5
2.7,41.4,"bathypelagic",NA
2.9,37,"bathypelagic",9
2.9,37.2,"bathypelagic",9
2.9,37.4,"bathypelagic",9
2.9,37.6,"bathypelagic",9
2.9,37.8,"bathypelagic",9
2.9,38,"bathypelagic",9
2.9,38.2,"bathypelagic",9
2.9,38.4,"bathypelagic",9
2.9,38.6,"bathypelagic",9
2.9,38.8,"bathypelagic",9
2.9,39,"bathypelagic",NA
2.9,40.2,"bathypelagic",9
2.9,40.4,"bathypelagic",5
2.9,40.6,"bathypelagic",9
2.9,40.8,"bathypelagic",9
2.9,41,"bathypelagic",5
2.9,41.2,"bathypelagic",5
2.9,41.4,"bathypelagic",9
2.9,41.6,"bathypelagic",NA
3.1,37,"bathypelagic",9
3.1,37.2,"bathypelagic",9
3.1,37.4,"bathypelagic",9
3.1,37.6,"bathypelagic",9
3.1,37.8,"bathypelagic",9
3.1,38,"bathypelagic",9
3.1,38.2,"bathypelagic",9
3.1,38.4,"bathypelagic",9
3.1,38.6,"bathypelagic",9
3.1,38.8,"bathypelagic",9
3.1,39,"bathypelagic",9
3.1,40.2,"bathypelagic",9
3.1,40.4,"bathypelagic",9
3.1,40.6,"bathypelagic",9
3.1,40.8,"bathypelagic",9
3.1,41,"bathypelagic",5
3.1,41.2,"bathypelagic",9
3.1,41.4,"bathypelagic",9
3.1,41.6,"bathypelagic",NA
3.3,37,"bathypelagic",9
3.3,37.2,"bathypelagic",9
3.3,37.4,"bathypelagic",9
3.3,37.6,"bathypelagic",9
3.3,37.8,"bathypelagic",9
3.3,38,"bathypelagic",9
3.3,38.2,"bathypelagic",9
3.3,38.4,"bathypelagic",9
3.3,38.6,"bathypelagic",9
3.3,38.8,"bathypelagic",9
3.3,39,"bathypelagic",9
3.3,39.2,"bathypelagic",9
3.3,40.2,"bathypelagic",9
3.3,40.4,"bathypelagic",9
3.3,40.6,"bathypelagic",5
3.3,40.8,"bathypelagic",9
3.3,41,"bathypelagic",9
3.3,41.2,"bathypelagic",9
3.3,41.4,"bathypelagic",9
3.3,41.6,"bathypelagic",NA
3.3,41.8,"bathypelagic",NA
3.3,42.6,"bathypelagic",NA
3.3,42.8,"bathypelagic",NA
3.3,43,"bathypelagic",NA
3.5,37,"bathypelagic",9
3.5,37.2,"bathypelagic",9
3.5,37.4,"bathypelagic",9
3.5,37.6,"bathypelagic",9
3.5,37.8,"bathypelagic",9
3.5,38,"bathypelagic",9
3.5,38.2,"bathypelagic",9
3.5,38.4,"bathypelagic",5
3.5,38.6,"bathypelagic",5
3.5,38.8,"bathypelagic",9
3.5,39,"bathypelagic",9
3.5,39.2,"bathypelagic",9
3.5,39.4,"bathypelagic",9
3.5,40,"bathypelagic",NA
3.5,40.2,"bathypelagic",9
3.5,40.4,"bathypelagic",5
3.5,40.6,"bathypelagic",5
3.5,40.8,"bathypelagic",9
3.5,41,"bathypelagic",9
3.5,41.2,"bathypelagic",9
3.5,41.4,"bathypelagic",5
3.5,41.6,"bathypelagic",5
3.5,41.8,"bathypelagic",5
3.5,42,"bathypelagic",NA
3.5,42.2,"bathypelagic",NA
3.5,42.4,"bathypelagic",9
3.5,42.6,"bathypelagic",NA
3.5,42.8,"bathypelagic",NA
3.5,43,"bathypelagic",NA
3.7,37,"bathypelagic",9
3.7,37.2,"bathypelagic",9
3.7,37.4,"bathypelagic",9
3.7,37.6,"bathypelagic",9
3.7,37.8,"bathypelagic",9
3.7,38,"bathypelagic",9
3.7,38.2,"bathypelagic",9
3.7,38.4,"bathypelagic",9
3.7,38.6,"bathypelagic",5
3.7,38.8,"bathypelagic",5
3.7,39,"bathypelagic",5
3.7,39.2,"bathypelagic",9
3.7,39.4,"bathypelagic",9
3.7,39.6,"bathypelagic",9
3.7,39.8,"bathypelagic",NA
3.7,40.2,"bathypelagic",NA
