"lon","lat","layer","trophic","ecoregion"
1.1,40.2,"pelagic","primary producers",3
1.1,40.4,"pelagic","primary producers",5
1.1,40.6,"pelagic","primary producers",5
1.1,40.8,"pelagic","primary producers",5
1.3,36.8,"pelagic","primary producers",4
1.3,37,"pelagic","primary producers",4
1.3,37.2,"pelagic","primary producers",1
1.3,37.4,"pelagic","primary producers",1
1.3,37.6,"pelagic","primary producers",1
1.3,37.8,"pelagic","primary producers",1
1.3,38,"pelagic","primary producers",4
1.3,38.2,"pelagic","primary producers",4
1.3,38.4,"pelagic","primary producers",6
1.3,39.2,"pelagic","primary producers",6
1.3,39.4,"pelagic","primary producers",6
1.3,39.6,"pelagic","primary producers",6
1.3,39.8,"pelagic","primary producers",6
1.3,40,"pelagic","primary producers",6
1.3,40.2,"pelagic","primary producers",3
1.3,40.4,"pelagic","primary producers",5
1.3,40.6,"pelagic","primary producers",5
1.3,40.8,"pelagic","primary producers",5
1.3,41,"pelagic","primary producers",5
1.5,36.8,"pelagic","primary producers",1
1.5,37,"pelagic","primary producers",1
1.5,37.2,"pelagic","primary producers",1
1.5,37.4,"pelagic","primary producers",1
1.5,37.6,"pelagic","primary producers",1
1.5,37.8,"pelagic","primary producers",1
1.5,38,"pelagic","primary producers",4
1.5,38.2,"pelagic","primary producers",4
1.5,38.4,"pelagic","primary producers",4
1.5,39.4,"pelagic","primary producers",6
1.5,39.6,"pelagic","primary producers",6
1.5,39.8,"pelagic","primary producers",6
1.5,40,"pelagic","primary producers",6
1.5,40.2,"pelagic","primary producers",6
1.5,40.4,"pelagic","primary producers",7
1.5,40.6,"pelagic","primary producers",3
1.5,40.8,"pelagic","primary producers",5
1.5,41,"pelagic","primary producers",5
1.7,36.8,"pelagic","primary producers",1
1.7,37,"pelagic","primary producers",1
1.7,37.2,"pelagic","primary producers",1
1.7,37.4,"pelagic","primary producers",1
1.7,37.6,"pelagic","primary producers",1
1.7,37.8,"pelagic","primary producers",1
1.7,38,"pelagic","primary producers",4
1.7,38.2,"pelagic","primary producers",4
1.7,38.4,"pelagic","primary producers",4
1.7,38.6,"pelagic","primary producers",6
1.7,38.8,"pelagic","primary producers",6
1.7,39.2,"pelagic","primary producers",6
1.7,39.4,"pelagic","primary producers",6
1.7,39.6,"pelagic","primary producers",6
1.7,39.8,"pelagic","primary producers",6
1.7,40,"pelagic","primary producers",6
1.7,40.2,"pelagic","primary producers",6
1.7,40.4,"pelagic","primary producers",6
1.7,40.6,"pelagic","primary producers",6
1.7,40.8,"pelagic","primary producers",7
1.7,41,"pelagic","primary producers",3
1.9,36.8,"pelagic","primary producers",1
1.9,37,"pelagic","primary producers",1
1.9,37.2,"pelagic","primary producers",1
1.9,37.4,"pelagic","primary producers",1
1.9,37.6,"pelagic","primary producers",1
1.9,37.8,"pelagic","primary producers",1
1.9,38,"pelagic","primary producers",4
1.9,38.2,"pelagic","primary producers",4
1.9,38.4,"pelagic","primary producers",4
1.9,38.6,"pelagic","primary producers",4
1.9,38.8,"pelagic","primary producers",6
1.9,39,"pelagic","primary producers",6
1.9,39.2,"pelagic","primary producers",6
1.9,39.4,"pelagic","primary producers",6
1.9,39.6,"pelagic","primary producers",6
1.9,39.8,"pelagic","primary producers",6
1.9,40,"pelagic","primary producers",6
1.9,40.2,"pelagic","primary producers",6
1.9,40.4,"pelagic","primary producers",6
1.9,40.6,"pelagic","primary producers",6
1.9,40.8,"pelagic","primary producers",6
1.9,41,"pelagic","primary producers",7
2.1,36.8,"pelagic","primary producers",1
2.1,37,"pelagic","primary producers",1
2.1,37.2,"pelagic","primary producers",1
2.1,37.4,"pelagic","primary producers",1
2.1,37.6,"pelagic","primary producers",1
2.1,37.8,"pelagic","primary producers",1
2.1,38,"pelagic","primary producers",4
2.1,38.2,"pelagic","primary producers",4
2.1,38.4,"pelagic","primary producers",4
2.1,38.6,"pelagic","primary producers",4
2.1,38.8,"pelagic","primary producers",4
2.1,39,"pelagic","primary producers",6
2.1,39.2,"pelagic","primary producers",6
2.1,39.4,"pelagic","primary producers",6
2.1,39.6,"pelagic","primary producers",6
2.1,39.8,"pelagic","primary producers",6
2.1,40,"pelagic","primary producers",6
2.1,40.2,"pelagic","primary producers",6
2.1,40.4,"pelagic","primary producers",6
2.1,40.6,"pelagic","primary producers",6
2.1,40.8,"pelagic","primary producers",6
2.1,41,"pelagic","primary producers",7
2.3,36.8,"pelagic","primary producers",1
2.3,37,"pelagic","primary producers",1
2.3,37.2,"pelagic","primary producers",1
2.3,37.4,"pelagic","primary producers",1
2.3,37.6,"pelagic","primary producers",1
2.3,37.8,"pelagic","primary producers",1
2.3,38,"pelagic","primary producers",1
2.3,38.2,"pelagic","primary producers",4
2.3,38.4,"pelagic","primary producers",4
2.3,38.6,"pelagic","primary producers",4
2.3,38.8,"pelagic","primary producers",4
2.3,39,"pelagic","primary producers",4
2.3,39.2,"pelagic","primary producers",6
2.3,39.4,"pelagic","primary producers",6
2.3,39.8,"pelagic","primary producers",6
2.3,40,"pelagic","primary producers",6
2.3,40.2,"pelagic","primary producers",6
2.3,40.4,"pelagic","primary producers",6
2.3,40.6,"pelagic","primary producers",6
2.3,40.8,"pelagic","primary producers",6
2.3,41,"pelagic","primary producers",6
2.3,41.2,"pelagic","primary producers",7
2.5,36.8,"pelagic","primary producers",1
2.5,37,"pelagic","primary producers",1
2.5,37.2,"pelagic","primary producers",1
2.5,37.4,"pelagic","primary producers",1
2.5,37.6,"pelagic","primary producers",1
2.5,37.8,"pelagic","primary producers",1
2.5,38,"pelagic","primary producers",1
2.5,38.2,"pelagic","primary producers",4
2.5,38.4,"pelagic","primary producers",4
2.5,38.6,"pelagic","primary producers",4
2.5,38.8,"pelagic","primary producers",4
2.5,39,"pelagic","primary producers",4
2.5,39.2,"pelagic","primary producers",6
2.5,39.8,"pelagic","primary producers",6
2.5,40,"pelagic","primary producers",6
2.5,40.2,"pelagic","primary producers",6
2.5,40.4,"pelagic","primary producers",6
2.5,40.6,"pelagic","primary producers",6
2.5,40.8,"pelagic","primary producers",6
2.5,41,"pelagic","primary producers",6
2.5,41.2,"pelagic","primary producers",3
2.5,41.4,"pelagic","primary producers",3
2.7,36.8,"pelagic","primary producers",1
2.7,37,"pelagic","primary producers",1
2.7,37.2,"pelagic","primary producers",1
2.7,37.4,"pelagic","primary producers",1
2.7,37.6,"pelagic","primary producers",1
2.7,37.8,"pelagic","primary producers",1
2.7,38,"pelagic","primary producers",1
2.7,38.2,"pelagic","primary producers",4
2.7,38.4,"pelagic","primary producers",4
2.7,38.6,"pelagic","primary producers",4
2.7,38.8,"pelagic","primary producers",4
2.7,39,"pelagic","primary producers",4
2.7,39.2,"pelagic","primary producers",6
2.7,40,"pelagic","primary producers",6
2.7,40.2,"pelagic","primary producers",6
2.7,40.4,"pelagic","primary producers",6
2.7,40.6,"pelagic","primary producers",6
2.7,40.8,"pelagic","primary producers",6
2.7,41,"pelagic","primary producers",3
2.7,41.2,"pelagic","primary producers",5
2.7,41.4,"pelagic","primary producers",5
2.9,37,"pelagic","primary producers",1
2.9,37.2,"pelagic","primary producers",1
2.9,37.4,"pelagic","primary producers",1
2.9,37.6,"pelagic","primary producers",1
2.9,37.8,"pelagic","primary producers",1
2.9,38,"pelagic","primary producers",1
2.9,38.2,"pelagic","primary producers",1
2.9,38.4,"pelagic","primary producers",4
2.9,38.6,"pelagic","primary producers",4
2.9,38.8,"pelagic","primary producers",4
2.9,39,"pelagic","primary producers",4
2.9,40.2,"pelagic","primary producers",6
2.9,40.4,"pelagic","primary producers",6
2.9,40.6,"pelagic","primary producers",6
2.9,40.8,"pelagic","primary producers",6
2.9,41,"pelagic","primary producers",7
2.9,41.2,"pelagic","primary producers",5
2.9,41.4,"pelagic","primary producers",5
2.9,41.6,"pelagic","primary producers",3
3.1,37,"pelagic","primary producers",1
3.1,37.2,"pelagic","primary producers",1
3.1,37.4,"pelagic","primary producers",1
3.1,37.6,"pelagic","primary producers",1
3.1,37.8,"pelagic","primary producers",1
3.1,38,"pelagic","primary producers",1
3.1,38.2,"pelagic","primary producers",1
3.1,38.4,"pelagic","primary producers",4
3.1,38.6,"pelagic","primary producers",4
3.1,38.8,"pelagic","primary producers",4
3.1,39,"pelagic","primary producers",4
3.1,40.2,"pelagic","primary producers",6
3.1,40.4,"pelagic","primary producers",6
3.1,40.6,"pelagic","primary producers",6
3.1,40.8,"pelagic","primary producers",6
3.1,41,"pelagic","primary producers",6
3.1,41.2,"pelagic","primary producers",3
3.1,41.4,"pelagic","primary producers",3
3.1,41.6,"pelagic","primary producers",3
3.3,37,"pelagic","primary producers",1
3.3,37.2,"pelagic","primary producers",1
3.3,37.4,"pelagic","primary producers",1
3.3,37.6,"pelagic","primary producers",1
3.3,37.8,"pelagic","primary producers",1
3.3,38,"pelagic","primary producers",1
3.3,38.2,"pelagic","primary producers",1
3.3,38.4,"pelagic","primary producers",4
3.3,38.6,"pelagic","primary producers",4
3.3,38.8,"pelagic","primary producers",4
3.3,39,"pelagic","primary producers",4
3.3,39.2,"pelagic","primary producers",4
3.3,40.2,"pelagic","primary producers",6
3.3,40.4,"pelagic","primary producers",6
3.3,40.6,"pelagic","primary producers",6
3.3,40.8,"pelagic","primary producers",6
3.3,41,"pelagic","primary producers",7
3.3,41.2,"pelagic","primary producers",3
3.3,41.4,"pelagic","primary producers",3
3.3,41.6,"pelagic","primary producers",3
3.3,41.8,"pelagic","primary producers",3
3.3,42.6,"pelagic","primary producers",3
3.3,42.8,"pelagic","primary producers",3
3.3,43,"pelagic","primary producers",3
3.5,37,"pelagic","primary producers",1
3.5,37.2,"pelagic","primary producers",1
3.5,37.4,"pelagic","primary producers",1
3.5,37.6,"pelagic","primary producers",1
3.5,37.8,"pelagic","primary producers",1
3.5,38,"pelagic","primary producers",1
3.5,38.2,"pelagic","primary producers",1
3.5,38.4,"pelagic","primary producers",1
3.5,38.6,"pelagic","primary producers",4
3.5,38.8,"pelagic","primary producers",4
3.5,39,"pelagic","primary producers",4
3.5,39.2,"pelagic","primary producers",4
3.5,39.4,"pelagic","primary producers",4
3.5,40,"pelagic","primary producers",6
3.5,40.2,"pelagic","primary producers",6
3.5,40.4,"pelagic","primary producers",6
3.5,40.6,"pelagic","primary producers",6
3.5,40.8,"pelagic","primary producers",7
3.5,41,"pelagic","primary producers",7
3.5,41.2,"pelagic","primary producers",3
3.5,41.4,"pelagic","primary producers",3
3.5,41.6,"pelagic","primary producers",3
3.5,41.8,"pelagic","primary producers",3
3.5,42,"pelagic","primary producers",3
3.5,42.2,"pelagic","primary producers",3
3.5,42.4,"pelagic","primary producers",3
3.5,42.6,"pelagic","primary producers",3
3.5,42.8,"pelagic","primary producers",3
3.5,43,"pelagic","primary producers",3
3.7,37,"pelagic","primary producers",1
3.7,37.2,"pelagic","primary producers",1
3.7,37.4,"pelagic","primary producers",1
3.7,37.6,"pelagic","primary producers",1
3.7,37.8,"pelagic","primary producers",1
3.7,38,"pelagic","primary producers",1
3.7,38.2,"pelagic","primary producers",1
3.7,38.4,"pelagic","primary producers",1
3.7,38.6,"pelagic","primary producers",4
3.7,38.8,"pelagic","primary producers",4
3.7,39,"pelagic","primary producers",4
3.7,39.2,"pelagic","primary producers",4
3.7,39.4,"pelagic","primary producers",4
3.7,39.6,"pelagic","primary producers",4
3.7,39.8,"pelagic","primary producers",6
3.7,40.2,"pelagic","primary producers",6
3.7,40.4,"pelagic","primary producers",6
3.7,40.6,"pelagic","primary producers",6
3.7,40.8,"pelagic","primary producers",7
3.7,41,"pelagic","primary producers",7
3.7,41.2,"pelagic","primary producers",3
3.7,41.4,"pelagic","primary producers",3
3.7,41.6,"pelagic","primary producers",3
3.7,41.8,"pelagic","primary producers",3
3.7,42,"pelagic","primary producers",3
3.7,42.2,"pelagic","primary producers",3
3.7,42.4,"pelagic","primary producers",3
3.7,42.6,"pelagic","primary producers",3
3.7,42.8,"pelagic","primary producers",3
3.7,43,"pelagic","primary producers",5
3.7,43.2,"pelagic","primary producers",5
3.9,37.2,"pelagic","primary producers",1
3.9,37.4,"pelagic","primary producers",1
3.9,37.6,"pelagic","primary producers",1
3.9,37.8,"pelagic","primary producers",1
3.9,38,"pelagic","primary producers",1
3.9,38.2,"pelagic","primary producers",1
3.9,38.4,"pelagic","primary producers",1
3.9,38.6,"pelagic","primary producers",4
3.9,38.8,"pelagic","primary producers",4
3.9,39,"pelagic","primary producers",4
3.9,39.2,"pelagic","primary producers",4
3.9,39.4,"pelagic","primary producers",4
3.9,39.6,"pelagic","primary producers",4
3.9,39.8,"pelagic","primary producers",6
3.9,40.2,"pelagic","primary producers",6
3.9,40.4,"pelagic","primary producers",6
3.9,40.6,"pelagic","primary producers",6
3.9,40.8,"pelagic","primary producers",7
3.9,41,"pelagic","primary producers",3
3.9,41.2,"pelagic","primary producers",3
3.9,41.4,"pelagic","primary producers",3
3.9,41.6,"pelagic","primary producers",3
3.9,41.8,"pelagic","primary producers",3
3.9,42,"pelagic","primary producers",3
3.9,42.2,"pelagic","primary producers",3
3.9,42.4,"pelagic","primary producers",3
3.9,42.6,"pelagic","primary producers",3
